user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Aved_18-Q3-R54-62_MAXAC.321	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__FEN-1173;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__F11;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	89.18	11	0.7926960863469932	N/A
Aved_18-Q3-R54-62_MAXAC.344	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__UBA2359;g__BJ6;s__BJ6 sp014584595	GCA_014584595.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__UBA2359;g__BJ6;s__BJ6 sp014584595	99.92	0.99	GCA_014584595.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__UBA2359;g__BJ6;s__BJ6 sp014584595	99.92	0.99	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__UBA2359;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.68	11	N/A	N/A
Aved_18-Q3-R54-62_MAXAC.378	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_001046875.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera_A;s__Tetrasphaera_A jenkinsii	79.75	0.46	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Tetrasphaera_A;s__	taxonomic classification defined by topology and ANI	N/A	GCF_001050535.1, s__Tetrasphaera_A australiensis, 95.0, 79.5, 0.42	96.53	11	0.9539002624794519	N/A
Aved_18-Q3-R54-62_MAXAC.386	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	95.83	11	0.836181778383891	N/A
Aved_18-Q3-R54-62_MAXAC.390	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	N/A	N/A	N/A	N/A	N/A	GCA_902826215.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp902826215	80.43	0.48	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002482775.1, s__PHOS-HE28 sp002482775, 95.0, 78.74, 0.35; GCA_002360495.1, s__PHOS-HE28 sp002360495, 95.0, 78.5, 0.32; GCA_008016945.1, s__PHOS-HE28 sp008016945, 95.0, 78.49, 0.29; GCA_014584605.1, s__PHOS-HE28 sp014584605, 95.0, 77.95, 0.21; GCA_013360395.1, s__PHOS-HE28 sp013360395, 95.0, 77.85, 0.23; GCA_002342985.1, s__PHOS-HE28 sp002342985, 95.0, 77.78, 0.24; GCA_002396605.1, s__PHOS-HE28 sp002396605, 95.0, 77.37, 0.13	93.65	11	0.9885407616924097	N/A
Aved_18-Q3-R54-62_MAXAC.392	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	95.89	11	0.8724866987119916	N/A
Aved_18-Q3-R54-62_MAXAC.397_sub	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Ga0077550;s__	N/A	N/A	N/A	N/A	N/A	GCA_001464385.1	95.0	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Ga0077550;s__Ga0077550 sp001464385	80.5	0.57	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Ga0077550;s__	taxonomic classification defined by topology and ANI	N/A	GCA_902826865.1, s__Ga0077550 sp902826865, 95.0, 77.3, 0.32	93.33	11	0.9160682262521288	N/A
Aved_18-Q3-R54-62_MAXAC.403	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	96.57	11	0.8739788816035745	N/A
Aved_18-Q3-R54-62_MAXAC.406	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__PNOJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013824755.1	95.0	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__PNOJ01;s__PNOJ01 sp013824755	92.46	0.97	d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__LZORAL124-64-63;f__LZORAL124-64-63;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	90.13	11	0.9832247897808022	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Aved_18-Q3-R54-62_MAXAC.418	d__Bacteria;p__AABM5-125-24;c__RPQS01;o__RPQS01;f__RPQS01;g__JABWCQ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013360195.1	95.0	d__Bacteria;p__AABM5-125-24;c__RPQS01;o__RPQS01;f__RPQS01;g__JABWCQ01;s__JABWCQ01 sp013360195	77.75	0.22	d__Bacteria;p__AABM5-125-24;c__RPQS01;o__RPQS01;f__RPQS01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	93.47	11	0.9171949790719819	N/A
Aved_18-Q3-R54-62_MAXAC.426	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	93.41	11	0.8232771850249645	N/A
Aved_18-Q3-R54-62_MAXAC.439	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	taxonomic classification fully defined by topology	N/A	N/A	91.19	11	0.927845516560926	N/A
Aved_18-Q3-R54-62_MAXAC.457	d__Bacteria;p__Planctomycetota;c__UBA1135;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Planctomycetota;c__UBA1135;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	90.15	11	0.549773409959062	N/A
Bjer_18-Q3-R1-45_BAT3C.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__	taxonomic classification defined by topology and ANI	N/A	GCF_006337105.1, s__Thermomonas sp006337105, 95.0, 87.19, 0.83; GCF_011302915.1, s__Thermomonas sp011302915, 95.0, 85.61, 0.77; GCF_014395425.1, s__Thermomonas brevis, 95.0, 84.69, 0.74; GCF_014396975.1, s__Thermomonas carbonis, 95.0, 84.66, 0.79; GCF_000423885.1, s__Thermomonas fusca, 95.0, 84.47, 0.74; GCF_004346265.1, s__Thermomonas haemolytica, 95.0, 84.19, 0.69; GCF_900129205.1, s__Thermomonas hydrothermalis, 95.0, 80.79, 0.59	95.71	11	0.9733562127747608	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Bjer_18-Q3-R1-45_BAT3C.132	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAABQG01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.76	11	0.9667302418336692	N/A
Bjer_18-Q3-R1-45_BAT3C.170	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	86.62	11	0.8725397772166065	N/A
Bjer_18-Q3-R1-45_BAT3C.178	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__DTU049;g__DTU049;s__DTU049 sp001512885	GCA_001512885.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__DTU049;g__DTU049;s__DTU049 sp001512885	99.76	0.97	GCA_001512885.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__DTU049;g__DTU049;s__DTU049 sp001512885	99.76	0.97	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__DTU049;g__DTU049;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001513285.1, s__DTU049 sp001513285, 95.0, 78.89, 0.46; GCA_001603615.1, s__DTU049 sp001603615, 95.0, 77.91, 0.51	81.66	11	N/A	N/A
Bjer_18-Q3-R1-45_BAT3C.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	N/A	N/A	N/A	N/A	N/A	GCA_002069045.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__JJ008 sp002069045	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002352145.1, s__JJ008 sp002352145, 95.0, 76.99, 0.2	85.77	11	0.9334294624367178	N/A
Bjer_18-Q3-R1-45_BAT3C.201_fly	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__2-12-FULL-60-25;g__CAIXDN01;s__	N/A	N/A	N/A	N/A	N/A	GCA_903918235.1	95.0	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__2-12-FULL-60-25;g__CAIXDN01;s__CAIXDN01 sp903918235	78.21	0.37	d__Bacteria;p__Patescibacteria;c__ABY1;o__SG8-24;f__2-12-FULL-60-25;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	69.33	11	0.9523228085228184	N/A
Bjer_18-Q3-R1-45_BAT3C.220	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__	N/A	N/A	N/A	N/A	N/A	GCA_013336205.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__Lentimicrobium sp013336205	78.95	0.4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__	taxonomic classification defined by topology and ANI	N/A	GCA_009773455.1, s__Lentimicrobium sp009773455, 95.0, 78.0, 0.34; GCA_002426025.1, s__Lentimicrobium sp002426025, 95.0, 77.37, 0.27	93.71	11	0.9709914652813809	N/A
Bjer_18-Q3-R1-45_BAT3C.224	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	taxonomic classification fully defined by topology	N/A	N/A	95.99	11	0.9488129234089211	N/A
Bjer_18-Q3-R1-45_BAT3C.235	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	N/A	N/A	N/A	N/A	N/A	GCF_000219585.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas sp000219585	89.34	0.7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__	taxonomic classification defined by topology and ANI	N/A	GCF_003201565.1, s__Nitrosomonas sp003201565, 95.0, 79.77, 0.42; GCF_900106555.1, s__Nitrosomonas oligotropha_A, 95.0, 79.37, 0.36; GCF_009833085.1, s__Nitrosomonas oligotropha, 95.0, 79.15, 0.39; GCF_004345375.1, s__Nitrosomonas sp004345375, 95.0, 78.97, 0.38; GCA_002083595.1, s__Nitrosomonas sp002083595, 95.0, 78.95, 0.42; GCA_902826915.1, s__Nitrosomonas sp902826915, 95.0, 78.93, 0.34; GCF_900108305.1, s__Nitrosomonas ureae_B, 95.0, 78.86, 0.33; GCF_000175095.2, s__Nitrosomonas sp000175095, 95.0, 78.8, 0.3; GCA_902826115.1, s__Nitrosomonas sp902826115, 95.0, 78.75, 0.38; GCF_001455205.1, s__Nitrosomonas ureae, 95.0, 78.73, 0.29; GCF_900112825.1, s__Nitrosomonas sp900112825, 95.0, 78.69, 0.39; GCF_003011925.2, s__Nitrosomonas sp003011925, 95.0, 78.21, 0.29; GCA_005779435.1, s__Nitrosomonas sp005779435, 95.0, 78.02, 0.26; GCA_002083395.1, s__Nitrosomonas sp002083395, 95.0, 77.97, 0.26; GCA_902826055.1, s__Nitrosomonas sp902826055, 95.0, 77.92, 0.28; GCF_009833095.1, s__Nitrosomonas sp009833095, 95.0, 77.46, 0.18; GCA_002435335.1, s__Nitrosomonas sp002435335, 95.0, 77.37, 0.2; GCA_900696615.1, s__Nitrosomonas sp900696615, 95.0, 77.16, 0.25; GCA_008015565.1, s__Nitrosomonas sp008015565, 95.0, 77.14, 0.23	81.06	11	0.9753469582051109	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Bjer_18-Q3-R1-45_BAT3C.258	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	86.86	11	0.8394528842638035	N/A
Bjer_18-Q3-R1-45_BAT3C.293	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	95.87	11	0.8816303047566422	N/A
Bjer_18-Q3-R1-45_BAT3C.298	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__AWTP1-30;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	76.99	11	0.8951294546540083	N/A
Bjer_18-Q3-R1-45_BAT3C.347	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	86.88	11	0.7865361687795107	N/A
Bjer_18-Q3-R1-45_BAT3C.93	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__	N/A	N/A	N/A	N/A	N/A	GCA_002748155.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__GCA-2748155 sp002748155	78.9	0.42	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.47	11	0.9239626238259758	N/A
Bjer_18-Q3-R1-45_BATAC.113	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Leadbetterella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae;g__Leadbetterella;s__	taxonomic classification fully defined by topology	N/A	N/A	84.53	11	0.964378626333656	N/A
Bjer_18-Q3-R1-45_BATAC.226	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__Microthrix sp002473265	GCA_002473265.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__Microthrix sp002473265	98.59	0.87	GCA_002473265.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__Microthrix sp002473265	98.59	0.87	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000299415.1, s__Microthrix parvicella, 95.0, 81.93, 0.6	85.49	11	N/A	N/A
Bjer_18-Q3-R1-45_BATAC.230	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__UKL13-2;g__FEB-7;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__UKL13-2;g__;s__	taxonomic novelty determined using RED	N/A	N/A	87.31	11	0.9332886942181112	N/A
Bjer_18-Q3-R1-45_BATAC.327	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	N/A	N/A	N/A	N/A	N/A	GCA_014379065.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__M3007 sp014379065	79.66	0.49	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__M3007;s__	taxonomic classification defined by topology and ANI	N/A	N/A	88.33	11	0.981883025634407	N/A
Bjer_18-Q3-R1-45_BATAC.331	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__UBA4416;s__	N/A	N/A	N/A	N/A	N/A	GCA_005800865.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__UBA4416;s__UBA4416 sp005800865	94.34	0.8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__UBA4416;s__	taxonomic classification defined by topology and ANI	N/A	GCA_903893815.1, s__UBA4416 sp903893815, 95.0, 92.02, 0.73; GCA_002420145.1, s__UBA4416 sp002420145, 95.0, 82.5, 0.66; GCA_013823565.1, s__UBA4416 sp013823565, 95.0, 82.21, 0.64; GCA_014378485.1, s__UBA4416 sp014378485, 95.0, 78.92, 0.41; GCA_903928655.1, s__UBA4416 sp903928655, 95.0, 78.71, 0.39; GCA_903834765.1, s__UBA4416 sp903834765, 95.0, 78.69, 0.35	82.81	11	0.9964301891528758	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
Bjer_18-Q3-R1-45_BATAC.43	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__	taxonomic novelty determined using RED	N/A	N/A	83.88	11	0.8680636766797591	N/A
Bjer_18-Q3-R1-45_BATAC.444	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	ANI	N/A	GCF_002127295.1, s__JJ008 sp002127295, 95.0, 78.03, 0.34; GCA_001464625.1, s__JJ008 sp001464625, 95.0, 77.54, 0.31; GCA_013140985.1, s__JJ008 sp013140985, 95.0, 77.07, 0.22	92.4	11	0.9589589137360652	N/A
Bjer_18-Q3-R1-45_BATAC.458	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ANI	N/A	GCA_903863395.1, s__Rhodoferax sp903863395, 95.0, 78.07, 0.28; GCA_001795455.1, s__Rhodoferax sp001795455, 95.0, 77.76, 0.23; GCA_008015235.1, s__Rhodoferax sp008015235, 95.0, 77.66, 0.2; GCA_002422455.1, s__Rhodoferax sp002422455, 95.0, 77.61, 0.26; GCA_903873485.1, s__Rhodoferax sp903873485, 95.0, 77.6, 0.15; GCA_002842265.1, s__Rhodoferax sp002842265, 95.0, 77.57, 0.2; GCF_001955715.1, s__Rhodoferax saidenbachensis, 95.0, 77.56, 0.22; GCA_011391645.1, s__Rhodoferax sp011391645, 95.0, 77.52, 0.22; GCA_002413825.1, s__Rhodoferax sp002413825, 95.0, 77.41, 0.13; GCA_903845935.1, s__Rhodoferax sp903845935, 95.0, 77.41, 0.22; GCA_903853895.1, s__Rhodoferax sp903853895, 95.0, 77.19, 0.14; GCA_002789915.1, s__Rhodoferax sp002789915, 95.0, 77.18, 0.21; GCA_002784245.1, s__Rhodoferax sp002784245, 95.0, 77.13, 0.22; GCA_001871515.1, s__Rhodoferax sp001871515, 95.0, 77.12, 0.2; GCA_903924955.1, s__Rhodoferax sp903924955, 95.0, 76.99, 0.12; GCA_903928635.1, s__Rhodoferax sp903928635, 95.0, 76.9, 0.08; GCA_903886165.1, s__Rhodoferax sp903886165, 95.0, 76.88, 0.21	88.8	11	0.9777091188899754	N/A
Bjer_18-Q3-R1-45_BATAC.496	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	79.27	11	0.8762086767664465	N/A
