MAG	NumContigs	TotBP	MaxContigBP	AvContigBP	HQMAG	HQdRep	HQdRep99ANI	HQSpRep	Comp	Cont	StrHet	Circ	FLSSU	FLLSU	GTDBTaxRS95	MiDAS3_7Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	ilmcov	npcov	max_abund	mm27f	mm534r	ttl_polymorphic_rate	polymut_rate
AalE_18-Q3-R2-46_BAT3C.235.fa	52	5952126	596414	114464	1083HQ	484_1	484_7	NA	90.66	1.1	0	NA	2	2	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__SCN-70-22;s__	ESV2549.1448;tax=d:Bacteria,p:Gemmatimonadetes,c:Gemmatimonadetes,o:Gemmatimonadales,f:Gemmatimonadaceae,g:midas_g_764,s:midas_s_929;	98.7	1448	JN609373.1.1487 Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium	97.6	1488	7.808578	9.230888	NA	0	0	0.0353349638750668	0.0117005262860053
AalE_18-Q3-R2-46_BAT3C.277.fa	23	3347309	417727	145535.2	1083HQ	518_1	518_1	NA	96.52	0.87	0	NA	1	1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	ESV59.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:midas_g_59,s:midas_s_59;	99.9	1411	HM007527.1.1469 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;uncultured;uncultured bacterium	99.4	1470	6.6852183	10.277253	NA	0	0	0.0259339746252916	0.00726281439032155
AalE_18-Q3-R2-46_BAT3C.320.fa	9	4595504	2300666	510611.6	1083HQ	320_1	320_1	SPREPHQ	95.82	2.04	12.5	NA	2	2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__UBA5518;s__UBA5518 sp002396625	ESV27.1459;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Cellvibrionales,f:Spongiibacteraceae,g:BD1-7_clade,s:midas_s_27;	99.5	1459	FPLP01010832.10.1526 Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae;BD1-7 clade;metagenome	92.7	1518	11.834846	15.664527	0.3519018	1	0	0.0108327916414644	0.00283724733376122
AalE_18-Q3-R2-46_BAT3C.357.fa	34	4025682	753866	118402.4	1083HQ	440_1	440_1	SPREPHQ	95.73	4.03	26.67	NA	3	3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__RPQJ01;s__	ESV420.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Steroidobacterales,f:Steroidobacteraceae,g:midas_g_98,s:midas_s_98;	96.3	1463	AB252886.1.1502 Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;uncultured;uncultured gamma proteobacterium	86.9	1515	10.401965	15.294301	0.13457255	0	0	0.054501011642631	0.0142860906430615
AalE_18-Q3-R2-46_BAT3C.409.fa	19	3510984	653177	184788.6	1083HQ	246_1	246_3	NA	95.73	1.98	0	NA	1	1	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__G233;s__	ESV849.1412;tax=d:Bacteria,p:Chloroflexi,c:OLB14,o:midas_o_731,f:midas_f_731,g:midas_g_731,s:midas_s_849;	99.9	1412	FPLP01003506.17.1486 Bacteria;Chloroflexi;OLB14;metagenome	99.8	1470	10.346069	14.10348	NA	0	0	0.0267673842645279	0.00567746465086293
AalE_18-Q3-R2-46_BATAC.147.fa	26	4542139	695289	174697.7	1083HQ	126_1	126_2	NA	95.54	1.13	87.5	NA	2	2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	ESV37.1440;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:Ca_Epiflobacter,s:midas_s_37;	99.7	1441	FPLP01007689.5.1503 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	99.2	1500	6.7995486	13.038231	NA	0	0	0.0107397250188658	0.0035222244707092
AalE_18-Q3-R2-46_BATAC.155.fa	39	5570566	531851	142835	1083HQ	468_1	468_1	SPREPHQ	94.02	3.42	0	NA	1	1	d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656;f__;g__;s__	ESV502.1475;tax=d:Bacteria,p:Acidobacteria,c:Blastocatellia_Subgroup_4,o:DS-100,f:midas_f_502,g:midas_g_502,s:midas_s_502;	96.8	1475	GQ487885.1.1515 Bacteria;Acidobacteriota;Blastocatellia;DS-100;uncultured bacterium	96.2	1515	6.369013	9.915686	0.15121436	1	0	0.0188788725892491	0.00758768961738162
AalE_18-Q3-R2-46_BATAC.180.fa	81	5714919	259260	70554.6	1083HQ	24_0	24_0	SPREPHQ	90.99	3.23	14.29	NA	1	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Draconibacterium;s__	ESV422.1440;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Bacteroidales,f:Prolixibacteraceae,g:midas_g_422,s:midas_s_422;	97.4	1442	FJ660555.1.1479 Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;uncultured;uncultured bacterium	97	1481	4.961778	10.493886	0.14133719	0	0	0.0542112535749863	0.0161525507270188
AalE_18-Q3-R2-46_BATAC.194_sub.fa	67	4521072	362218	67478.7	1083HQ	369_1	369_1	NA	92.4	4.13	25	NA	1	1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ESV5591.1459;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,s:midas_s_1934;	98.7	1459	AB680570.1.1462 Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas mendocina	99	1462	8.386608	10.375469	NA	1	0	0.0604813512752875	0.0140861134873111
AalE_18-Q3-R2-46_BATAC.251.fa	7	5709216	1701057	815602.3	1083HQ	208_1	208_1	SPREPHQ	92.01	1.82	0	NA	1	1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Promineofilales;f__Promineofilaceae;g__GCA-2746795;s__	ESV461.1427;tax=d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Ardenticatenales,f:Ca_Promineofilaceae,g:midas_g_461,s:midas_s_461;	100	1427	FPLP01004046.106.1591 Bacteria;Chloroflexi;Anaerolineae;Ardenticatenales;uncultured;metagenome	99.9	1486	32.37825	46.87107	0.90889853	0	1	0.0162543754848676	0.0032760216831752
AalE_18-Q3-R2-46_BATAC.258.fa	48	5425094	789033	113022.8	1083HQ	321_1	321_1	NA	95.51	3.7	28.57	NA	2	2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA5518;g__UBA5518;s__	ESV3844.1455;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Cellvibrionales,f:Spongiibacteraceae,g:BD1-7_clade,s:midas_s_263;	99.3	1455	FPLP01001147.11.1523 Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae;BD1-7 clade;metagenome	98.9	1513	11.383311	15.4474325	NA	1	0	0.0375398462027021	0.0108018158339657
AalE_18-Q3-R2-46_BATAC.29.fa	71	3568001	137132	50253.5	1083HQ	158_1	158_1	NA	91.35	4.98	33.33	NA	1	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__;g__;s__	ESV558.1433;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:midas_f_108,g:midas_g_558,s:midas_s_558;	99.6	1433	EU283354.1.1435 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;uncultured;uncultured delta proteobacterium	99.1	1435	6.075343	8.938746	NA	0	0	0.0365315233280995	0.0102204044928276
AalE_18-Q3-R2-46_BATAC.321.fa	7	3468346	2351310	495478	1083HQ	28_1	28_1	NA	96.45	1.64	50	NA	2	3	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriaceae;g__UBA10438;s__UBA10438 sp002426145	ESV428.1409;tax=d:Bacteria,p:Bacteroidetes,c:Ignavibacteria,o:OPB56,f:midas_f_428,g:midas_g_428,s:midas_s_428;	99.9	1409	FPLP01012358.2.1414 Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;metagenome	99	1415	10.674133	17.532383	NA	0	0	0.00894628260862168	0.00157411166251046
AalE_18-Q3-R2-46_BATAC.345.fa	36	4442731	565704	123409.2	1083HQ	401_1	401_6	NA	94.79	4.34	26.09	NA	2	2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Palsa-1005;g__VBCG01;s__	ESV3347.1465;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:SC-I-84,g:midas_g_1341,s:midas_s_3347;	99.6	1465	FQ659394.1.1354 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;uncultured soil bacterium	98.6	1354	11.951315	16.06484	NA	0	0	0.0434083771000671	0.012950348364371
AalE_18-Q3-R2-46_BATAC.376.fa	10	3407350	1161120	340735	1083HQ	357_1	357_1	NA	94.68	0.82	28.57	NA	1	1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dokdonella;s__	ESV183.1461;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Rhodanobacteraceae,g:Dokdonella,s:midas_s_124;	99.2	1462	HM238153.1.1460 Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dokdonella;uncultured gamma proteobacterium	98.2	1463	14.476872	22.539663	NA	0	0	0.0218377408752068	0.00516742469893094
AalE_18-Q3-R2-46_BATAC.574.fa	30	3977590	804821	132586.3	1083HQ	258_1	258_4	NA	96.55	1.72	0	NA	1	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__OLB11;s__	ESV679.1447;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:midas_g_679,s:midas_s_679;	99.9	1447	FPLP01006638.16.1458 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;uncultured;metagenome	99.6	1445	7.5309706	14.089621	NA	0	0	0.0161879569785142	0.00386550007970103
AalE_18-Q3-R2-46_BATAC.579.fa	37	3302134	340163	89246.9	1083HQ	124_1	124_5	SPREPHQ	94.58	0.99	0	NA	3	3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__UBA2359;g__;s__	ESV108.1447;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:midas_f_108,g:midas_g_108,s:midas_s_108;	100	1447	EU177761.1.1314 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;uncultured;uncultured Saprospiraceae bacterium	89.4	1357	14.124291	16.23068	0.66728115	0	0	0.0175512513240985	0.00394160631174684
AalE_18-Q3-R2-46_BATAC.604.fa	30	4047615	388071	134920.5	1083HQ	276_1	276_1	NA	95.43	1.61	66.67	NA	1	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	ESV758.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_385,s:midas_s_758;	99.3	1445	HG917637.1.1445 Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;uncultured bacterium	99.3	1445	7.321486	10.517056	NA	0	0	0.023589720705293	0.00690877300758453
AalE_18-Q3-R2-46_MAXAC.018.fa	9	2759370	1142453	306596.7	1083HQ	352_1	352_1	SPREPHQ	98.4	2.04	92.86	NA	2	2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__	ESV33.1457;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_33;	99.9	1457	FPLP01007707.16.1460 Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter;metagenome	97.9	1445	13.433722	24.74407	0.46304753	0	0	0.0312897524085115	0.0044864370254155
AalE_18-Q3-R2-46_MAXAC.019.fa	70	5617161	552199	80245.2	1083HQ	433_1	433_1	NA	92.74	4.27	40	NA	1	1	d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__UBA5066;f__UBA5066;g__UBA5066;s__	ESV1688.1476;tax=d:Bacteria,p:Acidobacteria,c:Holophagae,o:Subgroup_7,f:midas_f_973,g:midas_g_973,s:midas_s_973;	99.3	1476	JQ619832.1.1480 Bacteria;Acidobacteriota;Holophagae;Subgroup 7;Acidobacteria bacterium enrichment culture clone CV-04	98.9	1480	7.8177085	11.765935	NA	0	0	0.0602609240270643	0.0181551148086099
AalE_18-Q3-R2-46_MAXAC.020.fa	26	4688936	1010437	180343.7	1083HQ	114_1	114_2	NA	95.19	1.52	42.86	NA	3	3	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB8;s__	ESV29.1449;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:OLB8,s:midas_s_29;	99.9	1449	FPLO01003477.18.1265 Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Faecalibacterium;metagenome	89.4	1264	5.4766006	10.927175	NA	0	0	0.0151383409468439	0.00451187861848672
AalE_18-Q3-R2-46_MAXAC.025.fa	46	5127966	961599	111477.5	1083HQ	298_1	298_1	SPREPHQ	97.31	3.23	50	NA	1	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Lentimicrobiaceae;g__Lentimicrobium;s__	ESV1390.1446;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:Lentimicrobiaceae,g:Lentimicrobium,s:midas_s_1390;	100	1446	FQ658796.1.1354 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium;uncultured soil bacterium	98.4	1354	18.505274	15.685498	0.2921146	0	0	0.0195352790895359	0.0040060609001524
AalE_18-Q3-R2-46_MAXAC.039.fa	14	4036635	1376792	288331.1	1083HQ	92_1	92_1	NA	98.51	4.95	81.82	NA	1	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	ESV32.1453;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Terrimonas,s:midas_s_32;	100	1453	FPLM01002904.13.1516 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Terrimonas;metagenome	99.7	1506	29.246775	58.609253	NA	0	0	0.0124324044353049	0.00253571473287508
AalE_18-Q3-R2-46_MAXAC.064.fa	16	5333676	1623820	333354.8	1083HQ	139_1	139_1	NA	98.64	1.24	66.67	NA	1	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__;s__	ESV56.1459;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_56,s:midas_s_56;	100	1459	FPLP01011642.15.1487 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;metagenome	99.5	1477	12.02981	21.665241	NA	0	0	0.00608379937812917	0.00191239660211006
AalE_18-Q3-R2-46_MAXAC.077_sub.fa	32	4160206	500334	130006.4	1083HQ	375_1	375_1	NA	93.86	3.07	15.38	NA	1	1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ESV320.1457;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:midas_s_320;	99.5	1457	FR691424.1.1487 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;Curvibacter sp. R-36930	99.5	1487	9.51922	12.9309025	NA	0	0	0.0479121125853625	0.00959056554197128
AalE_18-Q3-R2-46_MAXAC.082.fa	26	4276253	690365	164471.3	1083HQ	97_1	97_3	NA	96.28	2.96	57.14	NA	1	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	ESV83.1451;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Chitinophagaceae,g:Ferruginibacter,s:midas_s_83;	99.7	1451	FPLP01010415.34.1524 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;metagenome	99.3	1491	6.444841	13.214009	NA	0	0	0.029998662905824	0.00731770793466113
AalE_18-Q3-R2-46_MAXAC.086.fa	77	4175888	213174	54232.3	1083HQ	402_1	402_1	SPREPHQ	91.08	0.95	100	NA	3	2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Palsa-1005;g__VBCG01;s__	ESV1798.1453;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:SC-I-84,g:midas_g_1341,s:midas_s_1798;	95.1	1455	GU455031.1.1494 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84;uncultured bacterium	97.7	1495	9.411363	12.131649	0.16349217	0	0	0.0628287218081638	0.0199373692430482
AalE_18-Q3-R2-46_MAXAC.100.fa	21	3425218	735306	163105.6	1083HQ	343_1	343_1	NA	90.01	0.51	0	NA	1	1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fen-999;s__	ESV5535.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:midas_g_5535,s:midas_s_5535;	99.9	1460	FPLP01001065.18.1535 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;uncultured;metagenome	99.8	1518	9.329816	10.271597	NA	0	0	0.0339666431377477	0.0117052831953882
AalE_18-Q3-R2-46_MAXAC.103.fa	19	4645399	843397	244494.7	1083HQ	170_1	170_1	NA	96.97	3.49	33.33	NA	1	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767-A;f__2013-40CM-41-45;g__;s__	ESV364.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Sphingobacteriales,f:AKYH767,g:midas_g_300,s:midas_s_364;	98.8	1445	FPLL01005967.15.1517 Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;metagenome	98.9	1503	8.947763	17.905994	NA	0	0	0.0212448488330626	0.00447807349670339
AalE_18-Q3-R2-46_MAXAC.104.fa	22	4063871	1543061	184721.4	1083HQ	514_0	514_0	SPREPHQ	97.99	1.76	33.33	NA	1	1	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__	ESV393.1411;tax=d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingopyxis,s:Sphingopyxis_bauzanensis;	99.5	1411	GQ131578.1.1481 Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;Sphingopyxis bauzanensis	99.5	1481	10.391893	14.84381	0.27949452	0	0	0.0171560450910434	0.00422670767739721
